name,ring,quadrant,isNew,description
Continuous Delivery,Adote,Técnicas,FALSE,"Continuous Delivery, ou “entrega contínua” em português, é uma abordagem de desenvolvimento de software na qual as equipes produzem o projeto em ciclos curtos, assegurando-se de que ele possa ser liberado confiantemente a qualquer instante, sempre que for solicitado."
Testes Automatizados e Unitários,Adote,Técnicas,FALSE,"Teste unitário é uma aplicação de teste usada para validar unidades de sistema. Uma unidade é a menor parte testável de um programa de computador. Em programação procedural, uma unidade pode ser uma função individual ou um procedimento. Idealmente, cada teste de unidade é independente dos demais, o que possibilita ao programador testar cada módulo isoladamente."
Teste de Integração,Adote,Técnicas,FALSE,"Teste de integração é a fase do teste de software em que módulos são combinados e testados em grupo. Ela sucede o teste de unidade, em que os módulos são testados individualmente, e antecede o teste de sistema, em que o sistema completo (integrado) é testado num ambiente que simula o ambiente de produção."
Teste de carga,Adote,Técnicas,FALSE,"Teste de carga é usado para verificar o limite de dados processados pelo software até que ele não consiga mais processa-lo. Usado para validar e avaliar a aceitabilidade dos limites operacionais de um sistema de acordo com cargas de trabalho variáveis, ao passo que o sistema em teste permanece constante. Em geral, as medições são tomadas com base na taxa de transferência de dados da carga de trabalho e no tempo de resposta da transação alinhado."
Branches com Merge Request,Adote,Técnicas,FALSE,"É uma estratégia de controle de versões do software onde não é possível fazer commits diretamente em uma versão, sendo necessário a criação de um merge request. Essa estratégia facilita a revisão de código das mudanças e dá maior segurança."
Code Review,Adote,Técnicas,FALSE,"A revisão de código é uma prática em times de desenvolvedores de software onde o código produzido por uma pessoa é revisado por outra a fim de encontrar possíveis problemas ou melhorias, e também permite a aprendizagem de partes do sistema por quem está revisando."
UX,Adote,Técnicas,FALSE,"UX ou User Experience (Experiência do Usuário) é a disciplina responsável por projetar experiências de uso encantadoras para fidelizar e conquistar clientes. Com esse objetivo, os designers de UX estudam o comportamento humano e o serviço oferecido para encontrar meios de melhorar a satisfação e a lealdade dos clientes. Isso é alcançado normalmente por meio de pilares como utilidade e facilidade de uso."
Integração Contínua,Adote,Técnicas,FALSE,"Integração contínua (continuous integration) é uma prática de desenvolvimento de software que visa tornar a integração de código mais eficiente, através de builds e testes automatizados."
Hackatons,Adote,Técnicas,FALSE,"Hackathons são eventos que reúnem desenvolvedores de software, designers e outros profissionais relacionados à área de programação, com o intuito de em um período curto de tempo criarem soluções inovadoras para algum problema específico."
Pair programming,Adote,Técnicas,FALSE,"Prática de programação em dupla onde normalmente uma pessoa programa e a outra supervisa. O ""supervisor"" observa detalhes como boas práticas, code smells, regras de negócio, etc. É útil para juntar conhecimentos e desenvolver a melhor solução possível no momento."
Melhoria contínua de performance,Adote,Técnicas,FALSE,Melhoria contínua de performance.
Redução de complexidade,Adote,Técnicas,FALSE,Redução de complexidade.
